Darkness|暗闇|Obscurité|Dunkelheit|Oscuridad
Stairs (Ruins)|階段（廃墟）|Escalier (pavé)|Kaputte Treppenstufen (Stein)|Escaleras (Ruinas)
Stairs (Ruins)|階段（廃墟）|Escalier (pavé)|Kaputte Treppenstufen (Stein)|Escaleras (Ruinas)
Ledge (Port)|段差（港）|Rebord (port)|graue Ziegelkante (Hafen)|Elevación (Puerto)
Ledge (Port)|段差（港）|Rebord (port)|graue Ziegelkante (Hafen)|Elevación (Puerto)
Ledge (Port)|段差（港）|Rebord (port)|graue Ziegelkante (Hafen)|Elevación (Puerto)
Ledge (Port)|段差（港）|Rebord (port)|graue Ziegelkante (Hafen)|Elevación (Puerto)
Cobblestones|石畳|Pavés|gelbe Fliesen|Suelo de Calle
Cobblestones|石畳|Pavés|graue Fliesen|Suelo de Calle
Ground (Cloud)|雲の床|Nuages|Boden (Wolken)|Suelo (Nube)
Ground (Cloud)|雲の床|Nuages|Boden (Wolken)|Suelo (Nube)
Farm Field|畑|Champ|Acker|Campo de Cultivo
Farm Field|畑|Champ|Acker|Campo de Cultivo
Farm Field (Snow)|畑（雪）|Champ (neige)|Acker (verschneit)|Campo de Cultivo (Nieve)
Farm Field (Snow)|畑（雪）|Champ (neigh)|Acker (verschneit)|Campo de Cultivo (Nieve)
Relief Floor Tile|レリーフ床|Dalle en relief|Drachenrelief-Boden|Relieve
Relief Floor Tile|レリーフ床|Dalle en relief|Drachenrelief-Boden|Relieve
Relief Floor Tile|レリーフ床|Dalle en relief|Drachenrelief-Boden|Relieve
Relief Floor Tile|レリーフ床|Dalle en relief|Drachenrelief-Boden|Relieve
Farm Field|畑|Champ|Acker|Campo de Cultivo
Farm Field|畑|Champ|Acker|Campo de Cultivo
Farm Field (Snow)|畑（雪）|Champ (neige)|Acker (verschneit)|Campo de Cultivo (Nieve)
Farm Field (Snow)|畑（雪）|Champ (neige)|Acker (verschneit)|Campo de Cultivo (Nieve)
Relief Floor Tile|レリーフ床|Dalle en relief|Drachenrelief-Boden|Relieve
Relief Floor Tile|レリーフ床|Dalle en relief|Drachenrelief-Boden|Relieve
Relief Floor Tile|レリーフ床|Dalle en relief|Drachenrelief-Boden|Relieve
Relief Floor Tile|レリーフ床|Dalle en relief|Drachenrelief-Boden|Relieve
Plateau (Meadow)|段差（草地）|Plateau (prairie)|Plateau (Wiese)|Plataforma (Prado)
Plateau (Meadow)|段差（草地）|Plateau (prairie)|Plateau (Wiese)|Plataforma (Prado)
Plateau (Meadow)|段差（草地）|Plateau (prairie)|Plateau (Wiese)|Plataforma (Prado)
Flower Bed|花壇|Plate-bande|Gartenfeld|Tierra de Jardín
Flower Bed (Snow)|花壇（雪）|Plate-bande (neige)|Gartenfeld (Schnee)|Tierra de Jardín (Nieve)
Plateau (Dirt)|段差（土）|Plateau (terre)|Plateau (Erde)|Plataforma (Tierra)
Plateau (Dirt)|段差（土）|Plateau (terre)|Plateau (Erde)|Plataforma (Tierra)
Plateau (Dirt)|段差（土）|Plateau (terre)|Plateau (Erde)|Plataforma (Tierra)
Plateau (Meadow)|段差（草地）|Plateau (prairie)|Plateau (Wiese)|Plataforma (Prado)
Plateau (Meadow)|段差（草地）|Plateau (prairie)|Plateau (Wiese)|Plataforma (Prado)
Plateau (Meadow)|段差（草地）|Plateau (prairie)|Plateau (Wiese)|Plataforma (Prado)
Plateau (Meadow)|段差（草地）|Plateau (prairie)|Plateau (Wiese)|Plataforma (Prado)
Plateau (Meadow)|段差（草地）|Plateau (prairie)|Plateau (Wiese)|Plataforma (Prado)
Plateau (Dirt)|段差（土）|Plateau (terre)|Plateau (Erde)|Plataforma (Tierra)
Plateau (Dirt)|段差（土）|Plateau (terre)|Plateau (Erde)|Plataforma (Tierra)
Plateau (Dirt)|段差（土）|Plateau (terre)|Plateau (Erde)|Plataforma (Tierra)
Plateau (Meadow)|段差（草地）|Plateau (prairie)|Plateau (Wiese)|Plataforma (Tierra)
Plateau (Meadow)|段差（草地）|Plateau (prairie)|Plateau (Wiese)|Plataforma (Prado)
Plateau (Meadow)|段差（草地）|Plateau (prairie)|Plateau (Wiese)|Plataforma (Tierra)
Plateau (Meadow)|段差（草地）|Plateau (prairie)|Plateau (Wiese)|Plataforma (Tierra)
Plateau (Meadow)|段差（草地）|Plateau (prairie)|Plateau (Wiese)|Plataforma (Prado)
Plateau (Dirt)|段差（土）|Plateau (terre)|Plateau (Erde)|Plataforma (Tierra)
Plateau (Dirt)|段差（土）|Plateau (terre)|Plateau (Erde)|Plataforma (Tierra)
Plateau (Dirt)|段差（土）|Plateau (terre)|Plateau (Erde)|Plataforma (Tierra)
Cliff|崖|Falaise|Klippe|Acantilado
Cliff|崖|Falaise|Klippe|Acantilado
Cliff|崖|Falaise|Klippe|Acantilado
Ledge (Dirt)|段差（土）|Rebord (terre)|Plateau (Erde)|Plataforma (Tierra)
Ledge (Dirt)|段差（土）|Rebord (terre)|Plateau (Erde)|Plataforma (Tierra)
Cliff|崖|Falaise|Klippe|Acantilado
Cliff|崖|Falaise|Klippe|Acantilado
Cliff|崖|Falaise|Klippe|Acantilado
Cliff (Meadow)|崖（草地）|Falaise (prairie)|Klippe (Wiese)|Acantilado (Prado)
Cliff (Meadow)|崖（草地）|Falaise (prairie)|Klippe (Wiese)|Acantilado (Prado)
Cliff (Meadow)|崖（草地）|Falaise (prairie)|Klippe (Wiese)|Acantilado (Prado)
Ledge (Dirt)|段差（土）|Rebord (terre)|Plateau (Erde)|Plataforma (Tierra)
Ledge (Dirt)|段差（土）|Rebord (terre)|Plateau (Erde)|Plataforma (Tierra)
Cliff (Dirt)|崖（土）|Falaise (terre)|Klippe (Erde)|Acantilado (Tierra)
Cliff (Dirt)|崖（土）|Falaise (terre)|Klippe (Erde)|Acantilado (Tierra)
Cliff (Dirt)|崖（土）|Falaise (terre)|Klippe (Erde)|Acantilado (Tierra)
