Cup & Teapot (Bottom)|カップとポット（下）|Tasse et théière (bas)|Teetasse und Kanne (unten)|Taza y Tetera (Abajo)
Pie|パイ|Tarte|Apfelkuchen|Tarta
Fried Rice|チャーハン|Riz fris|Gebratener Reis|Arroz Frito
Mystery Dishes|謎の料理|Plats mystérieux|mysteriöse Mahlzeit|Platos Misteriosos
Cooking Disaster|失敗料理|Désastre culinaire|verbrannte Mahlzeit|Desastre Culinario
Breakfast Set (Bottom)|朝食セット（下）|Petit déjeuner (bas)|Frühstücks-Gedeck (unten)|Comida (Abajo)
Breakfast Set (Top)|朝食セット（上）|Petit déjeuner (haut)|Frühstücks-Gedeck (oben)|Comida (Arriba)
Breakfast Set (Left)|朝食セット（左）|Petit déjeuner (gauche)|Frühstücks-Gedeck (links)|Comida (Izquierda)
Breakfast Set (Right)|朝食セット（右）|Petit déjeuner (droite)|Frühstücks-Gedeck (rechts)|Comida (Derecha)
Plate|皿|Assiette|Platte|Plato
Bowl|ボウル|Bol|Schale|Cuenco
Plates|皿|Assiettes|Tellerstapel|Platos 
Plates|皿|Assiettes|Tellerstapel|Platos
Closed Book (Bottom)|閉じた本（下）|Livre fermé (bas)|geschlossenes Buch (unten)|Libro Cerrado (Arriba)
Closed Book (Top)|閉じた本（上）|Livre fermé (haut)|geschlossenes Buch (oben)|Libro Cerrado (Abajo)
Closed Book (Left)|閉じた本（左）|Livre fermé (gauche)|geschlossenes Buch (links)|Libro Cerrado (Izquierda)
Closed Book (Right)|閉じた本（右）|Livre fermé (droite|geschlossenes Buch (rechts)|Libro Cerrado (Derecha)
Open Book (Bottom)|開いた本（下）|Livre ouvert (bas)|offenes Buch (unten)|Libro Abierto (Arriba)
Open Book (Top)|開いた本（上）|Livre ouvert (haut)|offenes Buch (oben)|Libro Abierto (Abajo)
Open Book (Left)|開いた本（左）|Livre ouvert (gauche)|offenes Buch (links)|Libro Abierto (Izquierda)
Open Book (Right)|開いた本（右）|Livre ouvert (droite)|offenes Buch (rechts)|Libro Abierto (Derecha)
Closed Old Book (Bottom)|閉じた古文書（下）|Vieux livre fermé (bas)|geschlossenes altes Buch (unten)|Vejo Libro Cerrado (Arriba)
Closed Old Book (Top)|閉じた古文書（上）|Vieux livre fermé (haut)|geschlossenes altes Buch (oben)|Vejo Libro Cerrado (Abajo)
Closed Old Book (Left)|閉じた古文書（左）|Vieux livre fermé (gauche)|geschlossenes altes Buch (links)|Vejo Libro Cerrado (Izquierda)
Closed Old Book (Right)|閉じた古文書（右）|Vieux livre fermé (droite)|geschlossenes altes Buch (rechts)|Vejo Libro Cerrado (Derecha)
Open Old Book (Bottom)|開いた古文書（下）|Vieux livre ouvert (bas)|offenes altes Buch (unten)|Vejo Libro Abierto (Arriba)
Open Old Book (Top)|開いた古文書（上）|Vieux livre ouvert (haut)|offenes altes Buch (oben)|Vejo Libro Abierto (Abajo)
Open Old Book (Left)|開いた古文書（左）|Vieux livre ouvert (gauche)|offenes altes Buch (links)|Vejo Libro Abierto (Izquierda)
Open Old Book (Right)|開いた古文書（右）|Vieux livre ouvert (droite)|offenes altes Buch (rechts)|Vejo Libro Abierto (Derecha)
Notes & Pen (Bottom)|メモとペン（下）|Carnet et stylo (bas)|Aufzeichnungen und Schreibfeder (unten)|Notas y Pluma (Abajo)
Notes & Pen (Top)|メモとペン（上）|Carnet et stylo (haut)|Aufzeichnungen und Schreibfeder (oben)|Notas y Pluma (Arriba)
Notes & Pen (Left)|メモとペン（左）|Carnet et stylo (gauche)|Aufzeichnungen und Schreibfeder (links)|Notas y Pluma (Izquierda)
Notes & Pen (Right)|メモとペン（右）|Carnet et stylo (droite)|Aufzeichnungen und Schreibfeder (rechts)|Notas y Pluma (Derecha)
Map (Bottom)|地図（下）|Carte (bas)|Karte (unten)|Mapa (Abajo)
Map (Top)|地図（上）|Carte (haut)|Karte (oben)|Mapa (Arriba)
Map (Left)|地図（左）|Carte (gauche)|Karte (links)|Mapa (Izquierda)
Map (Right)|地図（右）|Carte (droite)|Karte (rechts)|Mapa (Derecha)
Envelope & Letter|封筒と便箋|Enveloppe et lettre|Umschlag und Brief|Sobre y Carta
Envelope|封筒|Enveloppe|Briefumschlag|Sobre
Scrolls|巻物|Parchemins|Schriftrollen|Pergaminos
Scrolls|巻物|Parchemins|alte Schriftrollen|Pergaminos
Potted Flowers|花瓶|Pot de fleurs|Blumenvase|Flores
Potted Plant|植木鉢|Plante en pot|Blumenkübel|Flores
Potted Plant|植木鉢|Plante en pot|Pflanzenkübel|Flores
Planter|プランター|Jardinière|Rosengesteck|Flores
Case|ケース|Boîte|Kasten|Estuche
Case|ケース|Boîte|offener Kasten mit Schmuck|Estuche
Letter Case|レターケース|Boîtier à lettres|Fächer für Papiere|Estuche de Cartas
Cutting Board|まな板|Planche à découper|Schneidbrett mit Käse|Tabla de Cortar
Small Box|小箱|Petite boîte|Kästchen mit Fläschchen|Caja Pequeña
Small Box|小箱|Petite boîte|Kästchen mit Stoffen|Caja Pequeña
Small Box|小箱|Petite boîte|Kästchen mit Säckchen|Caja Pequeña
Small Box|小箱|Petite boîte|leeres Kästchen|Caja Pequeña
Sack|袋|Sac|Beutel|Bolsa
Sacks|袋|Sacs|2 Beutel|Bolsas
Sacks|袋|Sacs|3 Beutel|Bolsas
Medicine Bottle|薬瓶|Flacon de médicament|Medizinflasche|Botella de Medicina
Medicine Bottles|薬瓶|Flacons de médicament|2 Medizinflaschen|Botellas de Medicinas
Medicine Bottles|薬瓶|Flacons de médicament|3 Medizinflaschen|Botellas de Medicinas
Potion|液体入り瓶|Potion|magischer Trank|Poción
Potions|液体入り瓶|Potions|magische Tränke|Pociones
Basket|バスケット|Panier|Korb|Cesta
Basket|バスケット|Panier|Korb mit Kartoffeln|Cesta
Basket|バスケット|Panier|Korb mit Tomaten|Cesta
Basket|バスケット|Panier|Korb mit Brot|Cesta
Rug|じゅうたん|Tapis|Stoffrollen|Alfombra
Rug|じゅうたん|Tapis|Stoffrollen|Alfombra
Rug|じゅうたん|Tapis|Stoffrollen|Alfombra
Lab Equipment|実験器具|Équipement de laboratoire|Labor-Equipment|Equipo de Laboratorio
Stuffed Doll|ぬいぐるみ|Peluche|Teddybär (braun)|Peluche
Stuffed Doll|ぬいぐるみ|Peluche|Teddybär (rot)|Peluche
Stuffed Doll|ぬいぐるみ|Peluche|Teddybär (blau)|Peluche
Stuffed Doll|ぬいぐるみ|Peluche|Teddybär (schwarz)|Peluche
Stuffed Dolls|ぬいぐるみ|Peluches|Plüschhasen (braun)|Peluches
Stuffed Dolls|ぬいぐるみ|Peluches|Plüschhasen (schwarz)|Peluches
Gifts|プレゼント|Cadeaux|Geschenke|Regalos
Gifts|プレゼント|Cadeaux|Geschenke|Regalos
Shovel|スコップ|Pelle|Schaufel|Pala
Pickax|つるはし|Pioche|Spitzhacke|Pico
Rope|ロープ|Corde|Seil|Cuerda
Rope|ロープ|Corde|aufgerolltes Seil|Cuerda
Pendant|ペンダント|Pendentif|Amulett|Colgante
Jewelry Case|宝石ケース|Boîte à bijoux|Schmuckschatullen|Joyas
Necklace|ネックレス|Collier|Halskette|Collar
Jewelry Case|宝石ケース|Boîte à bijoux|Schmuckkästchen mit Ringen|Joyas
Sword|剣|Épée|Schwert|Espada
Swords|剣|Épées|Schwerter|Espadas
Swords|剣|Épées|gekreuzte Schwerter|Espadas
Axes|斧|Haches|gekreuzte Äxte|Hacha
Spears|槍|Lances|Lanzen|Lanzas
Spears|槍|Lances|Lanzen|Lanzas
Whip|鞭|Fouet|Peitsche|Látigo
Knives|短剣|Couteaux|Messer|Cuchillos
Cooking Utensils|調理器具|Ustensiles de cuisine|Kochutensilien|Utensilios de Cocina
Dry Flowers|ドライフラワー|Fleurs séchées|getrocknete Blumen|Flores Secas
Shield|盾|Bouclier|Schild|Escudo
Shield|盾|Bouclier|Rundschild|Escudo
Men's Clothing (Hanging)|男物の服（壁掛け）|Vêtement d'homme (pendu)|Männerkleidung (hängend)|Ropa de Hombre (Colgada)
Men's Clothing (Hanging)|男物の服（壁掛け）|Vêtement d'homme (pendu)|Männerkleidung (hängend)|Ropa de Hombre (Colgada)
Women's Clothing (Hanging)|女物の服（壁掛け）|Vêtement de femme (pendu)|Frauenkleidung (hängend)|Ropa de Mujer (Colgada)
Women's Clothing (Hanging)|女物の服（壁掛け）|Vêtement de femme (pendu)|Frauenkleidung (hängend)|Ropa de Mujer (Colgada)
Sword Rack|剣掛台|Râtelier à épée|Schwertständer|Estante de Espadas
Sword Rack|剣掛台|Râtelier à épée|Schwertständer|Estante de Espadas
Hammers|ハンマー|Marteaux|Hämmer|Martillos
Bows & Arrows|弓矢|Arcs et flèches|Bögen und Pfeile|Arco y Flechas
Blacksmith's Table|金床|Enclume|Schmiedeplatz|Mesa de Herrero
Blacksmith's Table|金床|Enclume|Schmiedeplatz mit Rohling|Mesa de Herrero
Large Basin|水桶|Grande bassine|Wasserbad|Agua de Herrero
Scrap Metal|鉄くず|Bout de métal|Metall-Schrotthaufen|Chatarra
Helmet|兜|Casque|Helm|Casco
Helmet|兜|Casque|Helm mit Visier|Casco
Helmet|兜|Casque|Helm mit Hörnern|Casco
Hat (Stand)|帽子（スタンド）|Chapeau (porte-chapeau)|Hutständer (Männerhut)|Sombrero
Hat (Stand)|帽子（スタンド）|Chapeau (porte-chapeau)|Hutständer (Damenhut)|Sombrero
Hat (Stand)|帽子（スタンド）|Chapeau (porte-chapeau)|Hutständer (Zauberhut)|Sombrero
Women's Clothing (Stand)|女物の服（スタンド）|Vêtement de femme (porte-manteau)|Kleiderständer (Kleid)|Ropa de Mujer
Dress (Stand)|ドレス（スタンド）|Robe (porte-manteau)|Kleiderständer (Brautkleid)|Vestido
Armor (Stand)|鎧（スタンド）|Armure (porte-armure)|Rüstungsständer|Armadura
Armor (Stand)|鎧（スタンド）|Armure (porte-armure)|Rüstungsständer|Armadura
Armor (Stand)|鎧（スタンド）|Armure (porte-armure)|Rüstungsständer|Armadura
Armor (Stand)|鎧（スタンド）|Armure (porte-armure)|Rüstungsständer|Armadura
Men's Clothing (Stand)|男物の服（スタンド）|Vêtement d'homme (porte-manteau)|Kleiderständer (Hemd)|Ropa de Hombre
Cape (Stand)|マント（スタンド）|Cape (porte-manteau)|Kleiderständer (Umhang)|Capa
Robe (Stand)|ローブ（スタンド）|Robe (porte-manteau)|Kleiderständer (Mantel)|Túnica
Robe (Stand)|ローブ（スタンド）|Robe (porte-manteau)|Kleiderständer (Robe)|Túnica
Church Symbol|教会のシンボル|Symbole d'église|Kirchenkreuz|Símbolo Sagrado
Goddess Statue|女神像|Statue de déesse|Göttinnen-Statue|Estatua de Diosa
Goddess Statue|女神像|Statue de déesse|Göttinnen-Statue|Estatua de Diosa
Goddess Statue|女神像|Statue de déesse|Göttinnen-Statue|Estatua de Diosa
Statue|石像|Statue|Statue|Estatua
Dais|台座|Piédestal|Podium|Plataforma
Crate with Swords|剣の入った箱|Caisse d'épées|Kiste mit Schwertern|Caja con Espadas
Crate with Spears|槍の入った箱|Caisse de lances|Kiste mit Speeren|Caja con Lanzas
Church Symbol|教会のシンボル|Symbole d'église|Kirchenkreuz|Símbolo Sagrado
Goddess Statue|女神像|Statue de déesse|Göttinnen-Statue|Estatua de Diosa
Goddess Statue|女神像|Statue de déesse|Göttinnen-Statue|Estatua de Diosa
Goddess Statue|女神像|Statue de déesse|Göttinnen-Statue|Estatua de Diosa
Statue|石像|Statue|Statue|Estatua
Broken Statue|壊れた像|Statue brisée|kaputte Statue|Plataforma
Crate with Swords|剣の入った箱|Caisse d'épées|Kiste mit Schwertern|Caja con Espadas
Crate with Spears|槍の入った箱|Caisse de lances|Kiste mit Speeren|Caja con Lanzas
Church Table|教会机|Table d'église|Kirchenaltar|Mesa de Iglesia
Church Table|教会机|Table d'église|Kirchenaltar|Mesa de Iglesia
Church Table|教会机|Table d'église|Kirchenaltar|Mesa de Iglesia
Church Table|教会机|Table d'église|Kirchenaltar mit Buch|Mesa de Iglesia
Decorative Pillar|装飾柱|Pilier décoratif|Ziersäule (halbrund)|Pilar Decorativo
Decorative Pillar|装飾柱|Pilier décoratif|Ziersäule (eckig)|Pilar Decorativo
Decorative Pillar (Ruins)|装飾柱（廃墟）|Pilier décoratif (ruines)|kaputte Ziersäule (rund)|Pilar Decorativo (Ruinas)
Decorative Pillar (Ruins)|装飾柱（廃墟）|Pilier décoratif (ruines)|kaputte Ziersäule (eckig)|Pilar Decorativo (Ruinas)
Church Table|教会机|Table d'église|Kirchenaltar|Mesa de Iglesia
Church Table|教会机|Table d'église|Kirchenaltar|Mesa de Iglesia
Church Table|教会机|Table d'église|Kirchenaltar|Mesa de Iglesia
Church Table|教会机|Table d'église|Kirchenaltar mit Buch|Mesa de Iglesia
Decorative Pillar|装飾柱|Pilier décoratif|Ziersäule (halbrund)|Pilar Decorativo
Decorative Pillar|装飾柱|Pilier décoratif|Ziersäule (eckig)|Pilar Decorativo
Decorative Pillar (Ruins)|装飾柱（廃墟）|Pilier décoratif (ruines)|kaputte Ziersäule (rund)|Pilar Decorativo (Ruinas)
Decorative Pillar (Ruins)|装飾柱（廃墟）|Pilier décoratif (ruines)|kaputte Ziersäule (eckig)|Pilar Decorativo (Ruinas)
Gold Bricks|金の延べ棒|Lingots d'or|3 Goldbarren|Lingotes de Oro
Gold Bricks|金の延べ棒|Lingots d'or|4 Goldbarren|Lingotes de Oro
Silver Bricks|銀の延べ棒|Lingots d'argent|3 Silberbarren|Lingotes de Plata
Silver Bricks|銀の延べ棒|Lingots d'argent|4 Silberbarren|Lingotes de Plata
Decorative Pillar|装飾柱|Pilier décoratif|Ziersäule (halbrund)|Pilar Decorativo
Decorative Pillar|装飾柱|Pilier décoratif|Ziersäule (eckig)|Pilar Decorativo
Decorative Pillar (Ruins)|装飾柱（廃墟）|Pilier décoratif (ruines)|kaputte Ziersäule (rund)|Pilar Decorativo (Ruinas)
Decorative Pillar (Ruins)|装飾柱（廃墟）|Pilier décoratif (ruines)|kaputte Ziersäule (eckig)|Pilar Decorativo (Ruinas)
Monument|石碑|Stèle|Denkmal|Monumento
Monument|石碑|Stèle|Denkmal|Monumento
Demon Statue|悪魔像|Statue de démon|Dämonen-Statue|Estatua de Demonio
Dragon Statue|竜像|Statue de dragon|Drachen-Statue|Estatua de Dragón
Dragon Statue|竜像|Statue de dragon|Drachen-Statue|Estatua de Dragón
Monument|石碑|Stèle|Denkmal|Monumento
Monument|石碑|Stèle|Denkmal|Monumento
Monument|石碑|Stèle|Denkmal|Monumento
Monument|石碑|Stèle|Denkmal|Monumento
Monument|石碑|Stèle|Denkmal|Monumento
Demon Statue|悪魔像|Statue de démon|Dämonen-Statue|Estatua de Demonio
Dragon Statue|竜像|Statue de dragon|Drachen-Statue|Estatua de Dragón
Dragon Statue|竜像|Statue de dragon|Drachen-Statue|Estatua de Dragón
Monument|石碑|Stèle|Denkmal|Monumento
Monument|石碑|Stèle|Denkmal|Monumento
Monument|石碑|Stèle|Denkmal|Monumento
Railings|段差用手すり|Balustrade|Holzgeländer|Raíles
Railings|段差用手すり|Balustrade|Holzgeländer|Raíles
Railings|段差用手すり|Balustrade|Holzgeländer|Raíles
Railings|段差用手すり|Balustrade|Holzgeländer|Raíles
Railings|段差用手すり|Balustrade|Steingeländer|Raíles
Railings|段差用手すり|Balustrade|Steingeländer|Raíles
Railings|段差用手すり|Balustrade|Steingeländer|Raíles
Railings|段差用手すり|Balustrade|Steingeländer|Raíles
Banister (Wood)|階段用手すり（木）|Rampe (bois)|Holzgeländer links|Barandilla (Madera)
Banister (Wood)|階段用手すり（木）|Rampe (bois)|Holzgeländer rechts|Barandilla (Madera)
Banister (Stone)|階段用手すり（石）|Rampe (pierre)|Steingeländer links|Barandilla (Piedra)
Banister (Stone)|階段用手すり（石）|Rampe (pierre)|Steingeländer rechts|Barandilla (Piedra)
Banister (Temple)|階段用手すり（神殿）|Rampe (temple)|Tempelgeländer links|Barandilla (Templo)
Banister (Temple)|階段用手すり（神殿）|Rampe (temple)|Tempelgeländer rechts|Barandilla (Templo)
Banister (Castle)|階段用手すり（城）|Rampe (château)|Schlossgeländer links|Barandilla (castillo)
Banister (Castle)|階段用手すり（城）|Rampe (château)|Schlossgeländer rechts|Barandilla (castillo)
Banister (Wood)|階段用手すり（木）|Rampe (bois)|Holzgeländer links|Barandilla (Madera)
Banister (Wood)|階段用手すり（木）|Rampe (bois)|Holzgeländer rechts|Barandilla (Madera)
Banister (Stone)|階段用手すり（石）|Rampe (pierre)|Steingeländer links|Barandilla (Piedra)
Banister (Stone)|階段用手すり（石）|Rampe (pierre)|Steingeländer rechts|Barandilla (Piedra)
Banister (Temple)|階段用手すり（神殿）|Rampe (temple)|Tempelgeländer links|Barandilla (Templo)
Banister (Temple)|階段用手すり（神殿）|Rampe (temple)|Tempelgeländer rechts|Barandilla (Templo)
Banister (Castle)|階段用手すり（城）|Rampe (château)|Schlossgeländer links|Barandilla (castillo)
Banister (Castle)|階段用手すり（城）|Rampe (château)|Schlossgeländer rechts|Barandilla (castillo)
Banister (Wood)|階段用手すり（木）|Rampe (bois)|Holzgeländer links|Barandilla (Madera)
Banister (Wood)|階段用手すり（木）|Rampe (bois)|Holzgeländer rechts|Barandilla (Madera)
Banister (Stone)|階段用手すり（石）|Rampe (pierre)|Steingeländer links|Barandilla (Piedra)
Banister (Stone)|階段用手すり（石）|Rampe (pierre)|Steingeländer rechts|Barandilla (Piedra)
Banister (Temple)|階段用手すり（神殿）|Rampe (temple)|Tempelgeländer links|Barandilla (Templo)
Banister (Temple)|階段用手すり（神殿）|Rampe (temple)|Tempelgeländer rechts|Barandilla (Templo)
Banister (Castle)|階段用手すり（城）|Rampe (château)|Schlossgeländer links|Barandilla (castillo)
Banister (Castle)|階段用手すり（城）|Rampe (château)|Schlossgeländer rechts|Barandilla (castillo)
