Transparent|透明|Transparent|Unsichtbar (erfordert Passierbarkeit = Stern, wenn in B-Slot)|Transparente
Wall Bracing|壁の補強材|Renfort de mur|Wandabstützung|Refuerzo de Pared
Wall Bracing|壁の補強材|Renfort de mur|Wandabstützung|Refuerzo de Pared
Wall Bracing|壁の補強材|Renfort de mur|Wandabstützung|Refuerzo de Pared
Wall Bracing (Abandoned Mine)|壁の補強材（廃坑）|Renfort de mur (mine abandonnée)|Wandabstützung (Verlassene Mine)|Refuerzo de Pared (Roto)
Wall Bracing (Abandoned Mine)|壁の補強材（廃坑）|Renfort de mur (mine abandonnée)|Wandabstützung (Verlassene Mine)|Refuerzo de Pared (Roto)
Wall Bracing (Abandoned Mine)|壁の補強材（廃坑）|Renfort de mur (mine abandonnée)|Wandabstützung (Verlassene Mine)|Refuerzo de Pared (Roto)
Exit|外への出口|Sortie|Ausgang|Salida
Entrance|入口|Entrée|Eingang|Entrada
Exit|外への出口|Sortie|Ausgang|Salida
Entrance|入口|Entrée|Eingang|Entrada
Exit|外への出口|Sortie|Ausgang|Salida
Entrance|入口|Entrée|Eingang|Entrada
Window|窓|Fenêtre|Fenster|Ventana
Window|窓|Fenêtre|Fenster|Ventana
Exit|外への出口|Sortie|Ausgang|Salida
Entrance|入口|Entrée|Eingang|Entrada
Exit|外への出口|Sortie|Ausgang|Salida
Entrance|入口|Entrée|Eingang|Entrada
Light From Exit (Top)|出口からの光（上）| Lumière de sortie (haut)|Licht vom Ausgang (oben)|Luz de Salida (Superior)
Light From Exit (Bottom)|出口からの光（下）|Lumière de sortie (bas)|Licht vom Ausgang (unten)|Luz de Salida (Inferior)
Window|窓|Fenêtre|Fenster|Ventana
Window|窓|Fenêtre|Fenster|Ventana
Spider Web|蜘蛛の巣|Toile d'araignée|Spinnennetz|Telaraña
Stone Tablet|石版|Tablette en pierre|Steintafel|Tableta de Piedra
Stone Tablet (Ruins)|石版（廃墟）|Tablette en pierre (ruines)|kaputte Steintafel|Tableta de Piedra (Rota)
Entrance|入口|Entrée|Eingang|Entrada
Entrance|入口|Entrée|Eingang|Entrada
Entrance (Top Half)|入口（上半分）|Entrée (moitié supérieure)|Eingang (obere Hälfte)|Entrada (Mitad Superior)
Entrance|入口|Entrée|Eingang|Entrada
Entrance (Top Half)|入口（上半分）|Entrée (moitié supérieure)|Eingang (obere Hälfte)|Entrada (Mitad Superior)
Wall Vines|壁のツタ|Plantes grimpantes (mur)|Kletterpflanze|Plantas Crecederas
Wall Vines|壁のツタ|Plantes grimpantes (mur)|Kletterpflanze|Plantas Crecederas
Leafless Wall Vines|壁のつる|Plantes grimpantes sans feuilles|Blattlose Kletterpflanze|Plantas Crecederas Sin Hojas
Wall Fern|壁のシダ|Fougère murale|Kletterfarn|Plantas Crecederas
Fissures|亀裂|Fissures|Risse|Fisuras
Fissures|亀裂|Fissures|Risse|Fisuras
Fissures|亀裂|Fissures|Risse|Fisuras
Fissures|亀裂|Fissures|Risse|Fisuras
Wall Vine|壁のツタ|Plante grimpante|Kletterpflanze|Plantas Crecederas
Wall Vine|壁のツタ|Plante grimpante|Kletterpflanze|Plantas Crecederas
Leafless Wall Vines|壁のつる|Plantes grimpantes sans feuilles|Blattlose Kletterpflanze|Plantas Crecederas Sin Hojas
Wall Moss|壁の苔|Mousse murale|Wandmoos|Plantas Crecederas
Fissures|亀裂|Fissures|Risse|Fisuras
Fissures|亀裂|Fissures|Risse|Fisuras
Fissures|亀裂|Fissures|Risse|Fisuras
Fissures|亀裂|Fissures|Risse|Fisuras
Monument|石碑|Stèle|Denkmal|Monumento
Monument|石碑|Stèle|Denkmal|Monumento
Monument|石碑|Stèle|Denkmal|Monumento
Monument|石碑|Stèle|Denkmal|Monumento
Monument|石碑|Stèle|Denkmal|Monumento
Monument (Lit)|石碑（光）|Stèle (lumineuse)|Denkmal (leuchtend)|Monumento (Iluminado)
Monument (Lit)|石碑（光）|Stèle (lumineuse)|Denkmal (leuchtend)|Monumento (Iluminado)
Monument (Lit)|石碑（光）|Stèle (lumineuse)|Denkmal (leuchtend)|Monumento (Iluminado)
Monument|石碑|Stèle|Denkmal|Monumento
Monument|石碑|Stèle|Denkmal|Monumento
Monument|石碑|Stèle|Denkmal|Monumento
Monument|石碑|Stèle|Denkmal|Monumento
Monument|石碑|Stèle|Denkmal|Monumento
Monument (Lit)|石碑（光）|Stèle (lumineuse)|Denkmal (leuchtend)|Monumento (Iluminado)
Monument (Lit)|石碑（光）|Stèle (lumineuse)|Denkmal (leuchtend)|Monumento (Iluminado)
Monument (Lit)|石碑（光）|Stèle (lumineuse)|Denkmal (leuchtend)|Monumento (Iluminado)
Statue|石像|Statue|Statue|Estatua
Goddess Statue|女神像|Statue de déesse|Göttinnen-Statue|Estatua de Diosa
Goddess Statue|女神像|Statue de déesse|Göttinnen-Statue|Estatua de Diosa
Dais|台座|Piédestal|Podium|Plataforma
Statue|石像|Statue|Statue|Estatua
Demon Statue|悪魔像|Statue de démon|Dämonen-Statue|Estatua de Demonio
Dragon Statue|竜像|Statue de dragon|Drachen-Statue|Estatua de Demonio
Dragon Statue|竜像|Statue de dragon|Drachen-Statue|Estatua de Demonio
Statue|石像|Statue|Statue|Estatua
Goddess Statue|女神像|Statue de déesse|Göttinnen-Statue|Estatua de Diosa
Goddess Statue|女神像|Statue de déesse|Göttinnen-Statue|Estatua de Diosa
Broken Statue|壊れた像|Statue brisée|zerbrochene Statue|Estatua Rota
Statue|石像|Statue|Statue|Estatua
Demon Statue|悪魔像|Statue de démon|Dämonen-Statue|Estatua de Demonio
Dragon Statue|竜像|Statue de dragon|Drachen-Statue|Estatua de Demonio
Dragon Statue|竜像|Statue de dragon|Drachen-Statue|Estatua de Demonio
Dirt Mound|土砂|Monticule de terre|Erdhaufen|Pila de Tierra
Dirt Mound|土砂|Monticule de terre|Erdhaufen|Pila de Tierra
Gravel Mound|土砂（石）|Monticule de gravier|Kieshaufen|Pila de Gravilla
Gravel Mound|土砂（石）|Monticule de gravier|Kieshaufen|Pila de Gravilla
Gold Mound|金の山|Montagne d'or|Goldhaufen|Pila de Oro
Gold Mound|金の山|Montagne d'or|Goldhaufen|Pila de Oro
Silver Mound|銀の山|Montagne d'argent|Silberhaufen|Pila de Plata
Silver Mound|銀の山|Montagne d'argent|Silberhaufen|Pila de Plata
Dirt Mound|土砂|Monticule de terre|Erdhaufen|Pila de Tierra
Dirt Mound|土砂|Monticule de terre|Erdhaufen|Pila de Tierra
Gravel Mound|土砂（石）|Monticule de gravier|Kieshaufen|Pila de Gravilla
Gravel Mound|土砂（石）|Monticule de gravier|Kies (Eishöhle)|Pila de Gravilla
Gold Mound|金の山|Montagne d'or|Goldhaufen|Pila de Oro
Gold Mound|金の山|Montagne d'or|Goldhaufen|Pila de Oro
Silver Mound|銀の山|Montagne d'argent|Silberhaufen|Pila de Plata
Silver Mound|銀の山|Montagne d'argent|Silberhaufen|Pila de Plata
Dirt Mound|土砂|Monticule de terre|kleiner Erdhaufen|Pila de Tierra
Gravel Mound|土砂（石）|Monticule de gravier|kleiner Kieshaufen|Pila de Tierra
Gold Bricks|金の延べ棒|Lingots d'or|3 Goldbarren|Lingotes de Oro
Gold Bricks|金の延べ棒|Lingots d'or|4 Goldbarren|Lingotes de Oro
Crate|木箱|Caisse en bois|Kiste mit Erde|Caja
Crate|木箱|Caisse en bois|Kiste mit Kies|Caja
Crate (Ruins)|木箱（廃墟）| Caisse en bois (ruines)|kaputte Kiste|Caja (Rota)
Vase (Ruins)|壺（廃墟）|Vase (ruines)|kaputte Vase|Jarrón (Roto)
Gold Mound|金の山|Montagne d'or|kleiner Goldhaufen|Pila de Oro
Silver Mound|銀の山|Montagne d'argent|kleiner Silberhaufen|Pila de Tierra
Gold Bricks|銀の延べ棒|Lingots d'or|3 Silberbarren|Lingotes de Oro
Gold Bricks|銀の延べ棒|Lingots d'or|4 Silberbarren|Lingotes de Oro
Crate|木箱|Caisse en bois|Kiste mit Goldstaub|Caja
Crate|木箱|Caisse en bois|Kiste mit Silberstaub|Caja
Vase|壺|Vase|Vase|Jarrón 
Vase|壺|Vase|verschlossene Vase|Jarrón 
Shovel|スコップ|Pelle|Schaufel|Pala
Pickax|つるはし|Pioche|Spitzhacke|Pico
Rope|ロープ|Corde|Seil|Cuerda
Mound of Gold Coins|金貨の山|Montagne de pièces d'or|Haufen mit Goldmünzen|Pila de Monedas
Crate|木箱|Caisse en bois|geschlossene Kiste|Caja
Crate|木箱|Caisse en bois|offene Kiste|Caja
Barrel|樽|Tonneau|Fass|Barril
Barrel (Ruins)|樽（廃墟）|Tonneau (ruines)|kaputtes Fass|Barril (Roto)
Bones|骸骨|Ossements|große Knochen|Huesos
Bones|骸骨|Ossements|große Knochen|Huesos
Bones|骸骨|Ossements|Tierknochen|Huesos
Table (Ruins)|テーブル（廃墟）|Table (ruines)|kaputter Tisch|Mesa (Rota)
Jail Bars|鉄格子|Barreaux de prison|Gitterstäbe|Cárcel 
Jail Bars|鉄格子|Barreaux de prison|Gitterstäbe|Cárcel 
Jail Bars|鉄格子|Barreaux de prison|Gitterstäbe|Cárcel 
Jail Bars|鉄格子|Barreaux de prison|Gitterstäbe|Cárcel 
Bones|骸骨|Ossements|große Knochen|Huesos
Bones|骸骨|Ossements|große Knochen|Huesos
Bones|骸骨|Ossements|Gebeine|Huesos
Stool (Ruins)|椅子（廃墟）|Tabouret (ruine)|umgefallener Stuhl|Taburete (Roto)
Jail Bars|鉄格子|Barreaux de prison|Gitterstäbe|Cárcel 
Jail Bars|鉄格子|Barreaux de prison|Gitterstäbe|Cárcel 
Jail Bars|鉄格子|Barreaux de prison|Gitterstäbe|Cárcel 
Jail Bars|鉄格子|Barreaux de prison|Gitterstäbe|Cárcel 
