Transparent|透明|Transparent|Unsichtbar (erfordert Passierbarkeit = Stern, wenn in B-Slot)|Transparente
Stool|椅子|Tabouret|eckiger Schemel|Taburete
Fortuneteller's Table (Crystal)|占い台（水晶）|Table de diseur de bonne aventure (crystal)|Tisch mit Kristallkugel eins Wahrsagers|Mesa de Advino (Cristal)
Mini Table (Flower)|ミニテーブル（花瓶）|Petite table (fleur)|kleiner Tisch mit Blumenvase|Mini Mesa (Flores)
Piano|ピアノ|Piano|Piano|Piano
Piano|ピアノ|Piano|Piano|Piano
Piano|ピアノ|Piano|Piano|Piano
Oven|かまど|Four|Ofen|Horno
Sink|流し|Évier|Spühle|Fregadero
Kitchen Counter|調理台|Comptoir de cuisine|Küchenzeile|Cocina
Kitchen Counter|調理台|Comptoir de cuisine|Küchenzeile mit Schneidbrett|Cocina
Dresser|ドレッサー|Commodes de linge|Schminktisch|Espejo 
Pipe Organ|パイプオルガン|Orgue|Orgel|Órgano
Pipe Organ|パイプオルガン|Orgue|Orgel|Órgano
Pipe Organ|パイプオルガン|Orgue|Orgel|Órgano
Simple Shelf|簡易棚|Étagère simple|Regalbrett|Estante 
Simple Shelf (Jars)|簡易棚（瓶）|Étagère simple (jarres)|Regalbrett (mit Einmachgläsern)|Estante (Jarras)
Simple Shelf (Books)|簡易棚（本）|Étagère simple (livres)|Regalbrett (mit Büchern)|Estante (Libros)
Simple Shelf (Sacks)|簡易棚（袋）|Étagère simple (sacs)|Regalbrett (mit Säckchen)|Estante (Bolsas)
Simple Shelf (Bottles)|簡易棚（ボトル）|Étagère simple (bouteilles)|Regalbrett (mit Flaschen)|Estante (Botellas)
Pipe Organ|パイプオルガン|Orgue|Orgel|Órgano
Pipe Organ|パイプオルガン|Orgue|Orgel|Órgano
Pipe Organ|パイプオルガン|Orgue|Orgel|Órgano
Fireplace|暖炉|Cheminée|großer Kamin|Chimenea
Fireplace|暖炉|Cheminée|großer Kamin|Chimenea
Fireplace|暖炉|Cheminée|großer Kamin|Chimenea
Fireplace|暖炉|Cheminée|Stein-Kamin|Chimenea
Fireplace|暖炉|Cheminée|Ziegel-Kamin|Chimenea
Fireplace|暖炉|Cheminée|Metall-Kamin|Chimenea
Tapestry|タペストリー|Tapisserie|Wandteppich|Tapiz
Tapestry (Ruins)|タペストリー（廃墟）|Tapisserie (ruines)|kaputter Wandteppich|Tapiz (Ruinas)
Fireplace|暖炉|Cheminée|großer Kamin|Chimenea
Fireplace|暖炉|Cheminée|großer Kamin|Chimenea
Fireplace|暖炉|Cheminée|großer Kamin|Chimenea
Fireplace|暖炉|Cheminée|Stein-Kamin|Chimenea
Fireplace|暖炉|Cheminée|Ziegel-Kamin|Chimenea
Fireplace|暖炉|Cheminée|Metall-Kamin|Chimenea
Tapestry|タペストリー|Tapisserie|Wandteppich|Tapiz
Tapestry (Ruins)|タペストリー（廃墟）|Tapisserie (ruines)|kaputter Wandteppich|Tapiz (Ruinas)
Curtains|カーテン|Rideaux|Vorhang (weiß)|Cortinas
Curtains|カーテン|Rideaux|Vorhang (rot)|Cortinas
Curtains|カーテン|Rideaux|gebundene Vorhänge|Cortinas
Curtains|カーテン|Rideaux|gebundene Vorhänge|Cortinas
Curtains (Ruins)|カーテン（廃墟）|Rideaux (ruines)|kaputte Vorhänge|Cortinas (Ruinas)
Curtains (Ruins)|カーテン（廃墟）|Rideaux (ruines)|kaputte Vorhänge|Cortinas (Ruinas)
Curtains (Ruins)|カーテン（廃墟）|Rideaux (ruines)|kaputte Vorhänge|Cortinas (Ruinas)
Curtains (Ruins)|カーテン（廃墟）|Rideaux (ruines)|kaputte Vorhänge|Cortinas (Ruinas)
Curtains|カーテン|Rideaux|Vorhang (weiß)|Cortinas
Curtains|カーテン|Rideaux|Vorhang (rot)|Cortinas
Curtains|カーテン|Rideaux|gebundene Vorhänge|Cortinas
Curtains|カーテン|Rideaux|gebundene Vorhänge|Cortinas
Curtains (Ruins)|カーテン（廃墟）|Rideaux (ruines)|kaputte Vorhänge|Cortinas (Ruinas)
Curtains (Ruins)|カーテン（廃墟）|Rideaux (ruines)|kaputte Vorhänge|Cortinas (Ruinas)
Curtains (Ruins)|カーテン（廃墟）|Rideaux (ruines)|kaputte Vorhänge|Cortinas (Ruinas)
Curtains (Ruins)|カーテン（廃墟）|Rideaux (ruines)|kaputte Vorhänge|Cortinas (Ruinas)
Clock|時計|Horloge|Wanduhr|Reloj
Mirror|鏡|Miroir|Spiegel|Espejo 
Posted Notice|貼り紙|Notification|Nachricht an der Wand|Cartel
Posted Notice (Ruins)|貼り紙（廃墟）|Notification (ruines)|abgerissene Nachricht an der Wand|Cartel (Roto)
World Map|世界地図|Carte du monde|Weltkarte|Mapamundi
World Map|世界地図|Carte du monde|Weltkarte|Mapamundi
Painting|絵画|Tableau|Gemälde|Cuadro
Painting|絵画|Tableau|Gemälde|Cuadro
Clock|時計|Horloge|Wanduhr|Reloj
Mirror|鏡|Miroir|Spiegel|Espejo 
Stone Tablet|石版|Tablette en pierre|Steinplatte|Tableta de Piedra
Stone Tablet(Ruins)|石版（廃墟）|Tablette en pierre (ruines)|kaputte Steinplatte|Tableta de Piedra (Rota)
Portrait|肖像画|Portrait|Portrait (Mann)|Retrato
Portrait|肖像画|Portrait|Portrait (Frau)|Retrato
Portrait|静物画|Nature morte|Gemälde (Blumen)|Retrato
Painting|絵画|Tableau|Kleines Gemälde|Cuadro
Chair|背もたれ椅子|Chaise|Holzstuhl|Silla
Chair|背もたれ椅子|Chaise|Steinsessel|Silla
Throne|玉座|Trône|Thron|Trono
Throne|玉座|Trône|Thron|Trono
Throne|玉座|Trône|Thron|Trono
Throne (Demon Castle)|玉座（魔王城）|Trône (château démoniaque)|Thron (Dämonenschloss)|Trono (Castillo Demoníaco)
Throne (Demon Castle)|玉座（魔王城）|Trône (château démoniaque)|Thron (Dämonenschloss)|Trono (Castillo Demoníaco)
Throne (Demon Castle)|玉座（魔王城）|Trône (château démoniaque)|Thron (Dämonenschloss)|Trono (Castillo Demoníaco)
Chair|背もたれ椅子|Chaise|Holzstuhl|Silla
Chair|背もたれ椅子|Chaise|Steinsessel|Silla
Throne|玉座|Trône|Thron|Trono
Throne|玉座|Trône|Thron|Trono
Throne|玉座|Trône|Thron|Trono
Throne (Demon Castle)|玉座（魔王城）|Trône (château démoniaque)|Thron (Dämonenschloss)|Trono (Castillo Demoníaco)
Throne (Demon Castle)|玉座（魔王城）|Trône (château démoniaque)|Thron (Dämonenschloss)|Trono (Castillo Demoníaco)
Throne (Demon Castle)|玉座（魔王城）|Trône (château démoniaque)|Thron (Dämonenschloss)|Trono (Castillo Demoníaco)
Shield|盾|Bouclier|Schild|Escudo
Swords|剣|Épées|Schwerter|Espadas
Swords|剣|Épées|gekreuzte Schwerter|Espadas
Entrance|入口|Entrée|Eingang|Entrada
Entrance|入口|Entrée|Eingang|Entrada
Entrance (Top Half)|入口（上半分）|Entrée (moitié supérieure)|Eingang (obere Hälfte)|Entrada (Mitad Superior)
Entrance|入口|Entrée|Eingang|Entrada
Entrance (Top Half)|入口（上半分）|Entrée (moitié supérieure)|Eingang (obere Hälfte)|Entrada (Mitad Superior)
Vase|壺|Vase|Vase|Jarrón
Vase|壺|Vase|verschlossene Vase|Jarrón
Vase (Ruins)|壺（廃墟）|Vase (ruines)|kaputte Vase|Jarrón (Roto)
Table (Ruins)|テーブル（廃墟）|Table (ruines)|kaputter Tisch|Mesa (Rota)
Stone Pillar|石の柱|Pilier en pierre|Steinsäule (rund)|Pilar de Piedra
Stone Pillar|石の柱|Pilier en pierre|Steinsäule (eckig)|Pilar de Piedra
Fort Pillar|砦の柱|Pilier de fort|Festungs-Säule|Pilar de Fuerte
Rubble|瓦礫|Décombres|Steinschutt|Escombros
Basin|桶|Bassine|Holzkübel|Cubo
Barrel|樽|Tonneau|Fass|Barril
Barrel (Ruins)|樽（廃墟）|Tonneau (ruines)|kaputtes Fass|Barril (Roto)
Stool (Ruins)|椅子（廃墟）|Tabouret (ruines)|umgefallener Hocker|Taburete (Roto)
Stone Pillar|石の柱|Pilier en pierre|Steinsäule (rund)|Pilar de Piedra
Stone Pillar|石の柱|Pilier en pierre|Steinsäule (eckig)|Pilar de Piedra
Fort Pilla|砦の柱|Pilier de fort|Festungs-Säule|Pilar de Fuerte
Rubble|瓦礫|Décombres|Steinschutt (braun)|Escombros
Basin|桶|Bassine|Holzkübel mit Wasser|Cubo
Tub|たらい|Baignoire|Holzzuber|Balde
Tub|たらい|Baignoire|Wäschezuber|Balde
Crate(Ruins)|木箱（廃墟）|Caisse en bois (ruines)|kaputte Kiste|Caja (Rota)
Broken Stone Pillar|折れた石の柱|Pilier en pierre brisé|kaputte Steinsäule (rund)|Pilar de Piedra Roto
Broken Stone Pillar|折れた石の柱|Pilier en pierre brisé|kaputte Steinsäule (eckig)|Pilar de Piedra Roto
Broken Fort Pillar|折れた砦の柱|Pilier en pierre brisé|kaputte Festungs-Säule|Pilar de Fuerte Roto
Scrap Wood|端材|Bout de bois|Holzplanken|Madera Rota
Crate|木箱|Caisse en bois|Kiste|Caja
Crate|木箱|Caisse en bois|offene Kiste|Caja
Stacked Crates|積まれた木箱|Caisses empilées|Kistenstapel|Cajas Amontonadas
Stacked Crates|積まれた木箱|Caisses empilées|Kistenstapel|Cajas Amontonadas
Fissures|亀裂|Fissures|Risse|Fisuras
Fissures|亀裂|Fissures|größere Risse|Fisuras
Fissures|亀裂|Fissures|Loch in der Wand|Fisuras
Fissures|亀裂|Fissures|Loch im Putz|Fisuras
Crate|木箱|Caisse en bois|Kiste mit Kartoffeln|Caja
Crate|木箱|Caisse en bois|Kiste mit Tomaten|Caja
Stacked Crates|積まれた木箱|Caisses empilées|Kistenstapel|Caja
Stacked Crates|積まれた木箱|Caisses empilées|Kistenstapel|Cajas Amontonadas
Fissures|亀裂|Fissures|Risse|Cajas Amontonadas
Fissures|亀裂|Fissures|größere Risse|Fisuras
Fissures|亀裂|Fissures|Loch in der Wand|Fisuras
Fissures|亀裂|Fissures|kleins Loch in der Wand|Fisuras
Crate|木箱|Caisse en bois|Kiste mit Maiskolben|Fisuras
Crate|木箱|Caisse en bois|Kiste mit Fisch|Caja
Sacks|麻袋|Sacs|Säcke|Sacos
Crate|木箱|Caisse en bois|große Kiste|Caja
Jail Bar|鉄格子|Barreau de prison|Gitterstäbe|Cárcel
Jail Bar|鉄格子|Barreau de prison|Gitterstäbe|Cárcel
Jail Bar|鉄格子|Barreau de prison|Gitterstäbe|Cárcel
Jail Bar|鉄格子|Barreau de prison|Gitterstäbe|Cárcel
Sack|麻袋|Sac|Sack|Saco
Sack|麻袋|sac|offener Sack|Saco
Sack|麻袋|Sac|Säcke|Saco
Crate|木箱|Caisse en bois|große Kiste|Caja
Jail Bar|鉄格子|Barreau de prison|Gitterstäbe|Cárcel
Jail Bar|鉄格子|Barreau de prison|Gitterstäbe|Cárcel
Jail Bar|鉄格子|Barreau de prison|Gitterstäbe|Cárcel
Jail Bar|鉄格子|Barreau de prison|Gitterstäbe|Cárcel
