Transparent|透明|Transparent|Unsichtbar (erfordert Passierbarkeit = Stern, wenn in B-Slot)|Transparente
Grass|草|Herbe|Gräser|Hierba
Stump|切り株|Souche d'arbre|Baumstumpf|Tocón
Tree|木|Arbre|Baum|Árbol
Tree|木|Arbre|Baumreihe|Árbol
Boulder|岩|Rocher|Felsbrocken|Roca
Flowers|花|Fleurs|Blumen|Flores
Flowers|花|Fleurs|Blumen|Flores
Flowers|花|Fleurs|Blumen|Flores
Flowers|花|Fleurs|Blumen|Flores
Fallen Log|倒木|Tronc d'arbre|umgefallener Baumstamm|Tronco Caído
Tree|木|Arbre|Baum|Árbol
Bush|植え込み|Buisson|Busch|Arbusto
Boulder|岩|Rocher|Felsbrocken|Roca
Scarecrow|かかし|Épouvantail|Vogelscheuche|Espantapájaros
Hole|穴|Nénuphars|Erdloch|Agujero
Firewood|薪|Bois de chauffage|Feuerholz|Leña
Rocks|小石|Cailloux|Steinchen|Piedras
Crops|農作物|Culture|Nutzpflanzen|Cosecha
Crops|農作物|Culture|Nutzpflanzen|Cosecha
Crops|農作物|Culture|Nutzpflanzen|Cosecha
Crops|農作物|Culture|Nutzpflanzen|Cosecha
Tree|木|Arbre|Baum|Árbol
Tree|木|Arbre|Baum|Árbol
Tree|木|Arbre|Baumgruppe|Árbol
Tree|木|Arbre|Baumgruppe|Árbol
Crate|木箱|Caisse en bois|große Kiste|Caja
Crate|木箱|Caisse en bois|Kiste|Caja
Crate|木箱|Caisse en bois|Kiste mit Kartoffeln|Caja
Crate|木箱|Caisse en bois|Kiste mit Tomaten|Caja
Tree|木|Arbre|Baum|Árbol
Tree|木|Arbre|Baum|Árbol
Tree|木|Arbre|Baumgruppe|Árbol
Tree|木|Arbre|Baumgruppe|Árbol
Crate|木箱|Caisse en bois|große Kiste|Caja
Crate|木箱|Caisse en bois|leere Kiste|Caja
Crate|木箱|Caisse en bois|Kiste mit Maiskolben|Caja
Crate|木箱|Caisse en bois|Kiste mit Fisch|Caja
Conifer Tree (Snow)|針葉樹（雪）|Sapin (neige)|Tanne (verschneit)|Árbol (Nieve)
Conifer Tree (Snow)|針葉樹（雪）|Sapin (neige)|Tanne (verschneit)|Árbol (Nieve)
Conifer Tree (Snow)|針葉樹（雪）|Sapin (neige)|Tannengruppe (verschneit)|Árbol (Nieve)
Conifer Tree (Snow)|針葉樹（雪）|Sapin (neige)|Tannengruppe (verschneit)|Árbol (Nieve)
Scarecrow (Snow)|かかし（雪）|Épouvantail (neige)|Vogelscheuche (verschneit)|Espantapájaros (nieve)
Vase (Snow)|壺（雪）|Vase (neige)|Vase (verschneit)|Jarrón (Nieve)
Bucket (Snow)|桶（雪）|Seau (neige)|Kübel (verschneit)|Cubo (nieve)
Crate (Snow)|木箱（雪）|Caisse en bois (neige)|Kiste (verschneit)|Caja (Nieve)
Conifer Tree (Snow)|針葉樹（雪）|Sapin (neige)|Tanne (verschneit)|Árbol (Nieve)
Conifer Tree (Snow)|針葉樹（雪）|Sapin (neige)|Tanne (verschneit)|Árbol (Nieve)
Conifer Tree (Snow)|針葉樹（雪）|Sapin (neige)|Tannengruppe (verschneit)|Árbol (Nieve)
Conifer Tree (Snow)|針葉樹（雪）|Sapin (neige)|Tannengruppe (verschneit)|Árbol (Nieve)
Mooring Bollard (Snow)|ビット（雪）|Bitte d'amarrage (neige)|Hafenpoller (verschneit)|Amarre (Nieve)
Barricade (H, Snow)|バリケード（横・雪）|Barricade (H, neige)|Barriere (verschneit, H)|Barricada (H, Nieve)
Barricade (H, Snow)|バリケード（縦・雪）|Barricade (H, neige)|Barriere (verschneit, V)|Barricada (V, Nieve)
Beanstalk (Snow)|豆の木（雪）|Branche de haricot (neige)|Bohnenstange (verschneit)|Planta (Nieve)
Chimney (Snow)|煙突（雪）|Cheminée (neige)|Schornstein (verschneit)|Chimenea (Nieve)
Sign (Snow)|立て札（雪）|Pancarte (neige)|Wegweiser (verschneit)|Cartel (Nieve)
Sign (Snow)|立て札（雪）|Pancarte (neige)|Holzschild (verschneit)|Cartel (Nieve)
Well (Snow)|井戸（雪）|Puit (neigh)|Brunnen (verschneit)|Pozo (Nieve)
Stepping Stones (Snow)|踏み石（雪）|Dalles en pierre (neige)|Trittsteine (verschneit)|Camino de Piedras (Nieve)
Barrel (Snow)|樽（雪）|Tonneau (neige)|Fass (verschneit)|Barril (Nieve)
Grave (Snow)|墓（雪）|Tombe (neige)|Grab (verschneit)|Tumba (Nieve)
Grave (Snow)|墓（雪）|Tombe (neige)|Grabstein (verschneit)|Tumba (Nieve)
Grass (Snow)|草（雪）|Prairie (neige)|Gras (verschneit)|Hierba (Nieve)
Grass (Snow)|草（雪）|Prairie (neige)|Grasbüschel (verschneit)|Hierba (Nieve)
Grass (Snow)|草（雪）|Prairie (neige)|Grasfleck (verschneit)|Hierba (Nieve)
Grass (Snow)|草（雪）|Prairie (neige)|Gräser (verschneit)|Hierba (Nieve)
Stump (Snow)|切り株（雪）|Souche (neige)|Baumstumpf (verschneit)|Tocón (Nieve)
Conifer Tree (Snow)|針葉樹（雪）|Sapin (neige)|Tanne (verschneit)|Árbol (Nieve)
Conifer Tree (Snow)|針葉樹（雪）|Sapin (neige)|Tannenreihe (Schnee)|Árbol (Nieve)
Boulder (Snow)|岩（雪）|Rocher (neige)|Felsbrocken (verschneit)|Roca (Nieve)
Snowman|雪だるま|Bonhomme de neige|Schneemann|Muñeco de Nieve
Hole (Snow)|穴（雪）|Trou (neige)|Erdloch (verschneit)|Agujero (Nieve)
Firewood (Snow)|薪（雪）|Bois de chauffage (neige)|Feuerholz (verschneit)|Leña (Nieve)
Rocks (Snow)|小石（雪）|Cailloux (neigh)|Steinchen (verschneit)|Piedras (Nieve)
Fallen Log (Snow)|倒木（雪）|Tronc d'arbre (neige)|umgefallener Baumstamm (verschneit)|Tronco Caído (Nieve)
Conifer Tree (Snow)|針葉樹（雪）|Sapin (neige)|Tanne (verschneit)|Árbol (Nieve)
Bush (Snow)|植え込み（雪）|Buisson (neige)|Busch (verschneit)|Arbusto (Nieve)
Boulder (Snow)|岩（雪）|Rocher (neige)|Felsbrocken (verschneit)|Roca (Nieve)
Dead Tree|枯れ木|Arbre mort|toter Baum|Árbol Muerto
Dead Tree|枯れ木|Arbre mort|tote Baumreihe|Árbol Muerto
Mushrooms|キノコ|Champignons|Pilze|Setas
Mushrooms|キノコ|Champignons|Pilze|Setas
Palm Tree|ヤシの木|Palmier|Palme|Palmera
Palm Tree|ヤシの木|Palmier|Palmenreihe|Palmera
Cactus|サボテン|Cactus|Kaktus|Cactus
Dead Grass|枯れ草|Herbe morte|totes Gras|Hierba Muerta
Dead Tree|枯れ木|Arbre mort|toter Baum|Árbol Muerto
Dead Bush|枯れ木|Arbuste mort|toter Busch|Arbusto Muerto
Rafflesia|ラフレシア|Rafflesia|Rafflesia|Rafflesia
Stump (Moss)|切り株（苔）|Souche (mousse)|Baumstumpf mit Moos|Tocón (Musgo)
Palm Tree|ヤシの木|Palmier|Palme|Palmera
Bush (Flowers)|植え込み（花）|Buisson (fleurs)|Busch (Blumen)|Arbusto (Flores)
Fern|シダ|Fougère|Farn|Helecho
Dead Grass|枯れ草|Herbe morte|totes Gras|Hierba Muerta
Hay|干し草|Paille|Heuhaufen|Paja
Hay (Snow)|干し草（雪）|Paille (neige)|Heuhaufen (verschneit)|Paja (Nieve)
Floral Patch|花畑|Champ de fleurs|Blumen|Florecillas
Susuki Grass|ススキ|Herbe susuki|Susuki-Gras|Juncos
Fallen Leaves|落ち葉|Feuilles mortes|Laub|Hojas Caídas
Lotus Pads|蓮の葉|Nénuphars|Seerosenblätter|Planta Acuática
Lotus Pads (Flowers)|蓮の葉（花）|Lotus (fleurs)|Seerosen|Planta Acuática (Flor de Loto)
Lotus Pads|蓮の葉|Nénuphars|Seerosenblätter|Planta Acuática
Wall Vines|壁のツタ|Plantes grimpantes|Kletterpflanze|Plantas Crecederas
Wall Vines|壁のツタ|Plantes grimpantes|Kletterpflanze|Plantas Crecederas
Leafless Wall Vines|壁のつる|Plantes grimpantes sans feuilles|blattlose Kletterpflanze|Plantas Crecederas
Wall Fern|壁のシダ|Fougère murale|Kletterfarn|Plantas Crecederas
Fissures|亀裂|Fissures|Risse|Fisuras
Fissures|亀裂|Fissures|größere Risse|Fisuras
Fissures|亀裂|Fissures|Loch in der Wand|Fisuras
Fissures|亀裂|Fissures|Loch im Putz|Fisuras
Wall Vines|壁のツタ|Plantes grimpantes|Kletterpflanze|Plantas Crecederas
Wall Vines|壁のツタ|Plantes grimpantes|Kletterpflanze|Plantas Crecederas
Leafless Wall Vines|壁のつる|Plantes grimpantes sans feuilles|blattlose Kletterpflanze|Plantas Crecederas
Wall Moss|壁の苔|Mousse murale|Moos an der Wand|Musgo
Fissures|亀裂|Fissures|Risse|Fisuras
Fissures|亀裂|Fissures|größere Risse|Fisuras
Fissures|亀裂|Fissures|Loch in der Wand|Fisuras
Fissures|亀裂|Fissures|kleines Loch in der Wand|Fisuras
Tent|テント|Tente|Zelt|Tienda de Campaña
Tent|テント|Tente|Zelt|Tienda de Campaña
Tent|テント|Tente|Zelt|Tienda de Campaña
Streetlight|街灯|Lampadaire|Straßenlaterne|Farola
Stairs (Up)|階段（上り）|Escalier (montée)|Steintreppe (rechts hoch)|Escaleras (Arriba)
Stairs (Up)|階段（上り）|Escalier (montée)|Steintreppe (links hoch)|Escaleras (Arriba)
Stairs (Up)|階段（上り）|Escalier (montée)|Holztreppe (rechts hoch)|Escaleras (Arriba)
Stairs (Up)|階段（上り）|Escalier (montée)|Holztreppe (links hoch)|Escaleras (Arriba)
Tent|テント|Tente|Zelt|Tienda de Campaña
Tent|テント|Tente|Zelt|Tienda de Campaña
Tent|テント|Tente|Zelt|Tienda de Campaña
Streetlight|街灯|Lampadaire|Straßenlaterne|Farola
Stairs (Down)|階段（下り）|Escalier (descente)|Steintreppe (links herunter)|Escaleras (Abajo)
Stairs (Down)|階段（下り）|Escalier (descente)|Steintreppe (rechts herunter)|Escaleras (Abajo)
Stairs (Down)|階段（下り）|Escalier (descente)|Holztreppe (links unten)|Escaleras (Abajo)
Stairs (Down)|階段（下り）|Escalier (descente)|Holztreppe (rechts unten)|Escaleras (Abajo)
Tent|テント|Tente|Zelt|Tienda de Campaña
Tent (Entrance)|テント（入口）|Tente (entrée)|Zelteingang|Tienda de Campaña (Entrada)
Tent|テント|Tente|Zelt|Tienda de Campaña
Streetlight|街灯|Lampadaire|Straßenlaterne|Farola
Metal Ladder|鉄ばしご|Échelle en métal|Metallleiter|Escalera de Metal
Rope Ladder|縄ばしご|Échelle de corde|Strickleiter|Escalera de Cuerda
Rope|ロープ|Corde|Seil|Cuerda
Vines|ツタ|Plantes grimpantes|Kletterpflanze|Planta
Tent (Snow)|テント（雪）|Tente (neige)|Zelt (verschneit)|Tienda de Campaña (Nieve)
Tent (Snow)|テント（雪）|Tente (neige)|Zelt (verschneit)|Tienda de Campaña (Nieve)
Tent (Snow)|テント（雪）|Tente (neige)|Zelt (verschneit)|Tienda de Campaña (Nieve)
Streetlight (Snow)|街灯（雪）|Lampadaire (neige)|Straßenlaterne (verschneit)|Farola (Nieve)
Metal Ladder|鉄ばしご|Échelle en métal|Metallleiter|Escalera de Metal
Rope Ladder|縄ばしご|Échelle de corde|Strickleiter|Escalera de Cuerda
Rope|ロープ|Corde|Seil|Cuerda
Vines|ツタ|Plantes grimpantes|Kletterpflanze|Planta
Tent (Snow)|テント（雪）|Tente|Zelt (verschneit)|Tienda de Campaña (Nieve)
Tent (Snow)|テント（雪）|Tente|Zelt (verschneit)|Tienda de Campaña (Nieve)
Tent (Snow)|テント（雪）|Tente|Zelt (verschneit)|Tienda de Campaña (Nieve)
Streetlight (Snow)|街灯（雪）|Lampadaire (neige)|Straßenlaterne (verschneit)|Farola (Nieve)
Metal Ladder|鉄ばしご|Échelle en métal|Metallleiter|Escalera de Metal
Rope Ladder|縄ばしご|Échelle de corde|Strickleiter|Escalera de Cuerda
Rope|ロープ|Corde|Seil|Cuerda
Vines (Down)|ツタ（下り）|Plantes grimpantes (descente)|Kletterpflanze (ins Loch)|Planta
Tent (Snow)|テント（雪）|Tente|Zelt (verschneit)|Tienda de Campaña (Nieve)
Tent (Entrance, Snow)|テント（入口・雪）|Tente (entrée, neige)|Zelteingang (verschneit)|Tienda de Campaña (Entrada, Nieve)
Tent (Snow)|テント（雪）|Tente (neige)|Zelt (verschneit)|Tienda de Campaña (Nieve)
Streetlight (Snow)|街灯（雪）|Lampadaire (neige)|Straßenlaterne (verschneit)|Farola (Nieve)
Hole (Metal Ladder)|穴（鉄ばしご）|Trou (échelle en métal)|Metalleiter (ins Loch)|Agujero (Escalera de Metal)
Hole (Rope Ladder)|穴（縄ばしご）|Trou (échelle de corde)|Strickleiter (ins Loch)|Agujero (Escalera de Cuerda)
Hole (Rope)|穴（ロープ）|Trou (corde)|Seil (ins Loch)|Agujero (Cuerda)
Hole|穴|Trou|Bodenloch (gemauert)|Agujero
