; Picture List for Der Clou!
; PictId, CollId, XOffset, YOffset, Width, Height, DestX, DestY
70,107,62,0,62,67,0,0
71,107,124,0,62,67,0,0
72,100,0,0,62,67,0,0
73,100,62,0,62,67,0,0
74,100,124,0,62,67,0,0
75,101,0,0,62,67,0,0
76,101,62,0,62,67,0,0
77,101,124,0,62,67,0,0
78,101,186,0,62,67,0,0
79,101,0,67,62,67,0,0
80,101,62,67,62,67,0,0
81,101,186,67,62,67,0,0
82,108,62,0,62,67,0,0
83,108,0,0,62,67,0,0
84,102,0,0,62,67,0,0
85,102,62,0,62,67,0,0
86,102,124,0,62,67,0,0
87,102,186,0,62,67,0,0
88,102,0,67,62,67,0,0
89,102,62,67,62,67,0,0
90,0,0,0,0,0,0,0
91,102,186,67,62,67,0,0
92,103,0,0,62,67,0,0
93,103,62,0,62,67,0,0
94,104,0,0,62,67,0,0
95,76,0,0,320,140,0,0
96,134,62,0,62,67,0,0
97,111,186,67,62,67,0,0
98,111,124,67,62,67,0,0
99,111,62,67,62,67,0,0
100,111,0,67,62,67,0,0
101,111,124,0,62,67,0,0
102,111,0,0,62,67,0,0
103,111,62,0,62,67,0,0
104,109,0,0,62,67,0,0
105,109,124,67,62,67,0,0
106,109,62,0,62,67,0,0
107,109,124,0,62,67,0,0
108,110,0,0,62,67,0,0
109,110,62,0,62,67,0,0
110,110,124,0,62,67,0,0
111,110,186,0,62,67,0,0
112,110,248,0,62,67,0,0
113,0,0,0,0,0,0,0
114,110,0,67,62,67,0,0
115,110,62,67,62,67,0,0
116,110,124,67,62,67,0,0
117, 110,186,67,62,67,0,0
118,110,248,67,62,67,0,0
119,112,62,0,62,67,0,0
120,112,0,0,62,67,0,0
121,111,186,0,62,67,0,0
122,134,124,0,62,67,0,0
123,105,186,67,62,67,0,0
124,106,0,0,62,67,0,0
125,105,0,67,62,67,0,0
126,105,124,67,62,67,0,0
127,105,124,0,62,67,0,0
128,105,186,0,62,67,0,0
129,105,62,67,62,67,0,0
130,105,0,0,62,67,0,0
131,105,62,0,62,67,0,0
132,106,124,0,62,67,0,0
133,106,62,0,62,67,0,0
134,83,0,0,320,140,0,0
135,19,0,0,320,140,0,0
136,108,186,0,62,67,0,0
137,52,0,0,320,140,0,0
138,53,0,0,320,140,0,0
139,54,0,0,320,140,0,0
140,46,0,0,320,140,0,0
141,49,0,0,320,140,0,0
142,47,0,0,320,140,0,0
143,55,0,0,320,140,0,0
144,109,0,67,62,67,0,0
145,129,0,108,64,8,240,5
146,129,64,108,64,8,240,50
147,135,0,0,62,67,0,0
148,102,124,67,62,67,0,0
149,108,124,0,62,67,0,0
150,131,0,0,320,140,0,0
151,109,62,67,62,67,0,0
152,80,0,0,96,95,115,45
153,67,0,0,80,64,120,60
154,148,0,0,320,140,0,0
155,107,186,0,62,67,0,0
156,42,0,0,320,140,0,0
157,72,0,0,80,64,120,34
158,56,0,0,320,140,0,0
159,0,0,0,0,0,0,0
160,0,0,0,0,0,0,0
161,45,0,0,320,140,0,0
162,74,0,0,168,62,75,60
163,78,0,0,320,140,0,0
164,81,0,0,112,24,104,55
165,70,0,0,80,64,120,60
166,0,0,0,0,0,0,0
167,43,0,0,320,140,0,0
168,44,0,0,320,140,0,0
169,68,0,0,80,64,50,50
170,69,0,0,80,96,50,50
171,48,0,0,320,140,0,0
172,71,0,0,240,20,40,50
173,50,0,0,320,140,0,0
174,74,0,0,168,62,70,50
175,73,0,0,80,64,120,40
176,95,0,0,80,64,120,60
177,113,0,0,62,67,0,0
178,113,62,0,62,67,0,0
179,114,62,0,62,67,0,0
180,114,0,0,62,67,0,0
181,114,62,67,62,67,0,0
182,114,0,67,62,67,0,0
183,115,62,0,62,67,0,0
184,115,0,0,62,67,0,0
185,116,0,0,62,67,0,0
186,116,124,67,62,67,0,0
187,116,62,67,62,67,0,0
188,116,0,67,62,67,0,0
189,116,124,0,62,67,0,0
190,116,62,0,62,67,0,0
191,116,186,67,62,67,0,0
192,116,248,0,62,67,0,0
193,117,0,0,62,67,0,0
194,117,124,0,62,67,0,0
195,117,186,0,62,67,0,0
196,117,248,0,62,67,0,0
197,117,62,0,62,67,0,0
198,118,0,0,62,67,0,0
199,119,0,0,62,67,0,0
200,120,0,0,62,67,0,0
201,120,62,0,62,67,0,0
202,122,0,0,62,67,0,0
203,122,62,0,62,67,0,0
204,123,0,0,62,67,0,0
205,124,0,0,62,67,0,0
206,125,0,0,62,67,0,0
207,126,0,0,62,67,0,0
208,127,0,0,62,67,0,0
209,113,0,0,62,67,0,0
210,121,0,0,62,67,0,0
211,147,80,0,80,64,120,61
212,75,0,0,80,64,70,50
213,147,160,0,80,64,20,61
214,0,0,0,0,0,0,0
215,147,240,0,80,64,220,61
216,0,0,0,0,0,0,0
217,147,0,0,80,64,20,61
218,0,0,0,0,0,0,0
219,51,0,0,320,140,0,0
220,81,0,0,112,24,0,0
221,149,0,0,124,124,98,16
222,116,184,0,62,67,0,0
223,133,0,0,62,67,0,0
224,130,0,0,320,140,0,0
225,106,186,0,62,67,0,0
226,112,186,0,62,67,0,0
227,82,0,0,320,140,0,0
