Empty,Vide,Leer,Vacío,Vuoto,Tom,Leeg
Level,Niveau,Level,Level,Livello,Bana,Niveau
Delete,Effacer,Löschen,Borrar,Cancella,Radera,Verwijder
Delete a File,Effacer un fichier,Einde Datei löschen,Borrar un archivo,Cancella un file,Radera en fil,Een bestand verwijderen
Delete Which File?,Quel fichier effacer?,Welche Datei löschen?,¿Qué archivo borrar?,Quale file cancellare?,Radera vilken fil?,Welk bestand verwijderen?
,,,,,,
Jan.,Janv.,Jan,Enero,genn.,Jan.,Jan.
Feb.,Févr.,Feb,Feb.,febb.,Febr.,Feb.
Mar.,Mars,Mar,Marzo,mar.,Mars,Mrt.
Apr.,Avr.,Apr,Abr.,apr.,April,Apr.
May,Mai,Mai,Mayo,magg.,Maj,Mei
June,Juin,Jun,Jun.,giu.,Juni,Juni
July,Juil.,Jul,Jul.,lug.,Juli,Juli
Aug.,Août,Aug,Agosto,ago.,Aug.,Aug.
Sept.,Sept.,Sep,Set.,sett.,Sept.,Sep.
Oct.,Oct.,Okt,Oct.,ott.,Okt.,Okt.
Nov.,Nov.,Nov,Nov.,nov.,Nov.,Nov.
Dec.,Déc.,Dez,Dic.,dic.,Dec.,Dec.
,,,,,,
Language,Langue,Sprache,Idioma,Lingua,Språk,Taal
Interface,Interface,Schnittstelle,Interfaz,Interfaccia,Gränssnitt,Interface
Controls,Commandes,Steuerung,Comandos,Comandi,Kontroll,Besturing
Sound,Audio,Ton,Sonido,Audio,Ljud,Geluid
Graphics,Graphisme,Bild,Gráficos,Grafica,Bild,Beeld
,,,,,,
Difficulty,Difficulté,Schwierigkeit,Dificultad,Difficoltà,Svårighet,Moeilijkheid
Normal,Normale,Normal,Normal,Normale,Normal,Normaal
Kiddie Mode,Mode Gamin,Kindermodus,Mono Niños,Modalità bambino,Barnläge,Kindermodus
Story Subtitles,Sous-Titres,Untertitel,Subtítulos,Sottotitoli storia,Undertexter,Ondertiteling
,,,,,,
Crosshairs,Réticule,Fadenkreuz,Retículo,Mirino,Streckplatta,Dradenkruis
Hidden,Caché,Versteckt,Invisible,Nascosto,Gömd,Onzichtbaar
Visible,Visible,Sichtbar,Visible,Visibile,Synlig,Zichtbaar
,,,,,,
Split-Screen,Écran divisé,,,Schermo diviso,,
Tall,Haut,,,Verticalmente,,
Wide,Large,,,Orizzontalmente,,
,,,,,,
Tip: Press Alt-Enter to toggle fullscreen,Conseil: Appuie sur Alt-Entrée pour passer en plein écran,,,Suggerimento: Premi Alt-Invio per alternare tra schermo intero e finestra,,
Fullscreen,Plein écran,Vollbild,Pantalla completa,Schermo intero,Fullskärm,Volledig scherm
V-Sync,,,,,,
Antialiasing,Anticrénelage,Antialiasing,Antialiasing,Antialiasing,Kantutjämning,Anti-Kartelvorming
Msaa 2*,,,,,,
Msaa 4*,,,,,,
Msaa 8*,,,,,,
Preferred Display,Écran préféré,,,Schermo preferito,,
Display,Écran,Anzeige,Pantalla,Schermo,Skärm,Scherm
"The new antialiasing level will take
effect when you restart the game.","Le nouveau niveau d'anticrénelage sera
effectif après un redémarrage du jeu.",,,"Il nuovo livello di antialiasing avrà
effetto quanto riavvierai il gioco.",,
,,,,,,
Status bar Spacing,Espacement barre d'état,Abstand der Statuszeile,Espacio barra de estado,Estensione HUD,Statusfältavstånd,Statusbalk afstand
Spaced Out,Espacée,Ausgebreitet,Espaciada,Esteso,Utspridd,Uitgespreid
Centered,Centrée,Zentriert,Centrada,Centrato,Centrerat,Gecentreerd
Status bar Scale,Taille barre d'état,Maßstab der Statuszeile,Tamaño barra de estado,Dimensione HUD,Statusfältstorlek,Statusbalk grootte
,,,,,,
3D Glasses,Lunettes 3D,3D-Brille,Gafas 3D,Occhiali 3D,3D-Glasögon,3D-Bril
Calibrate 3D Glasses,Calibrer Lunettes 3D,3D-Brille kalibrieren,Calibrar gafas 3D,Calibra occhiali 3D,Kalibrera 3D-glasögon,
Anaglyph 3D,3D Anaglyphe,,,3D anaglifo,,
Disabled,Désactivée,,,Disabilitato,,
Color,Couleur,,,Colore,,
Monochrome,Monochrome,,,Monocromatico,,
Shutter,À Obturation,,,Otturatore,,
Channel Balancing,Équilibrage Canaux,,,Bilanciamento canali,,
Red level,Niveau de Rouge,,,Livello di rosso,,
Green level,Niveau de Vert,,,Livello di verde,,
Blue level,Niveau de Bleu,,,Livello di blu,,
,,,,,,
Music Volume,Volume Musique,Musiklautstärke,Volumen Música,Volume musica,Musikvolym,Muziekvolume
Effects Volume,Volume Bruitages,Effektlautstärke,Volumen Efectos,Volume effetti,Effektvolym,Volume Geluidseffecten
,,,,,,
Keyboard,Clavier,Tastatur,Teclado,Tastiera,Tangentbord,Toetsenbord
Gamepad,Manette,Gamepad,Mando,Gamepad,Handkontroll,Controller
Mouse,Souris,Maus,Ratón,Mouse,Mus,Muis
"Press <RETURN> to assign a new key, or <X> to clear it","Appuie sur <ENTRÉE> pour réaffecter une touche, ou <X> pour l'effacer",,,"Premi <INVIO> per assegnare un nuovo tasto, oppure <X> per rimuoverlo","Tryck på <ENTER> för att tilldela en ny
tangent, eller <X> för att rensa",
"Press <A> to assign a new button, or <X> to clear it","Appuie sur <A> pour réaffecter un bouton, ou <X> pour l'effacer",,,"Premi <A> per assegnare un nuovo bottone, oppure <X> per rimuoverlo","Tryck på <A> för att tilldela en ny knapp, eller <X> för att rensa",
"Press a key now, or <ESC> to cancel","Appuie sur la touche de ton choix, ou <ÉCHAP> pour annuler",,,"Premi un tasto ora, oppure <ESC> per annullare","Tryck på valfri tangent nu, eller <ESC> för att avbryta",
"Press a button now, or <START> to cancel","Appuie sur le bouton de ton choix,
ou <START> pour annuler",,,"Premi un bottone ora,
oppure <START> per annullare","Tryck på valfri knapp nu,
eller <START> för att avbryta",
No gamepad detected,Aucune manette détectée,Kein Controller erkannt,,Nessun gamepad rilevato,Ingen handkontroll hittades,
Note: You can always steer with the left stick.,Note: le stick gauche sert toujours à se diriger.,,,Nota: Puoi sempre sterzare con lo stick sinistro,Obs: Det går alltid att styra med vänsterspaken,
Rumble Strength,Force des vibrations,Vibrationsstärke,Fuerza de vibración,Forza delle vibrazioni,Vibrationsstyrka,
Vertical Steering,Contrôle vertical,Vertikale Steuerung,,Beccheggio,Vertikal styrning,
Normal,Normal,Normal,,Normale,Normal,
Inverted,Inversé,Umgekehrt,,Invertito,Omvänd,
Mouse Sensitivity,Sensibilité Souris,Mausempfindlichkeit,Sensibilidad del ratón,Sensibilità del mouse,Muskänslighet,Muis gevoeligheid
,,,,,,
Back,Retour,Zurück,Atrás,Indietro,Tillbaka,Terug
OK,,,,,,
Cancel,Annuler,Abbrechen,Cancelar,Annulla,Avbryt,Annuleren
Yes,Oui,Ja,Sí,Sì,Ja,Ja
No,Non,Nein,No,No,Nej,Nee
On,Oui,Ein,Sí,Sì,På,
Off,Non,Aus,No,No,Av,
,,,,,,
Press!,Appuie!,Drück!,,Premi!,Tryck!,Druk!
Click!,Clique!,,,Fai click!,,
Restore Default Configuration,Restaurer la config. par défaut,Standardkonfiguration zurücksetzen,,Ripristina la configurazione predefinita,Återställ standardkonfiguration,
Left Click,Clic Gauche,,,Click sinistro,,
Middle Click,Clic Milieu,,,Click centrale,,
Right Click,Clic Droit,,,Click destro,,
Button,Bouton,,,Bottone,Knapp,Knop
Scroll Up,Défiler Haut,,,Scorri verso l'alto,,
Scroll Down,Défiler Bas,,,Scorri verso il basso,,
Scroll Left,Défiler Gauche,,,Scorri verso sinistra,,
Scroll Right,Défiler Droite,,,Scorri verso destra,,
,,,,,,
...,,,,,,
Button A,Bouton A,A-Taste,,Bottone A,A-Knappen,A-Knop
Button B,Bouton B,B-Taste,,Bottone B,B-Knappen,B-Knop
Button X,Bouton X,X-Taste,,Bottone X,X-Knappen,X-Knop
Button Y,Bouton Y,Y-Taste,,Bottone Y,Y-Knappen,Y-Knop
Menu,,,,Menu,,
Guide,,,,Guida,,
Start,,,,Avvia,,
LS Button,Bouton LS,LS-Taste,,Bottone LS,LS-Knappen,LS-Knop
RS Button,Bouton RS,RS-Taste,,Bottone RS,RS-Knappen,RS-Knop
LB,,,,,,
RB,,,,,,
D-Pad Up,D-Pad Haut,,,D-Pad su,D-Pad Upp,D-Pad Omhoog
D-Pad Down,D-Pad Bas,,,D-Pad giù,D-Pad Ner,D-Pad Omlaag
D-Pad Left,D-Pad Gauche,,,D-Pad sinistra,D-Pad Vänster,D-Pad Links
D-Pad Right,D-Pad Droite,,,D-Pad destra,D-Pad Höger,D-Pad Rechts
LS Up,LS Haut,,,LS su,LS Upp,LS Omhoog
LS Down,LS Bas,,,LS giù,LS Ner,LS Omlaag
LS Left,LS Gauche,,,LS sinistra,LS Vänster,LS Links
LS Right,LS Droite,,,LS destra,LS Höger,LS Rechts
RS Up,RS Haut,,,RS su,RS Upp,LS Omhoog
RS Down,RS Bas,,,RS giù,RS Ner,LS Omlaag
RS Left,RS Gauche,,,RS sinistra,RS Vänster,RS Links
RS Right,RS Droite,,,RS destra,RS Höger,RS Rechts
LT,,,,,,
RT,,,,,,
,,,,,,
Descend,Plonger,,,Scendi,,
Ascend,S'élever,,,Sali,,
Turn Left,Gauche,,,Sterza a sinistra,,
Turn Right,Droite,,,Sterza a destra,,
Fire,Tirer,,,Spara,,
Drop Egg,Lâcher Œuf,,,Rilascia l'uovo,,
Prev Weapon,Arme Préc.,,,Arma precedente,,
Next Weapon,Arme Suiv.,,,Arma successiva,,
Jetpack,Jetpack,,,,,
Camera Mode,Mode Caméra,,,Modalità camera,,
,,,,,,
"#9500
In the year 4122, a solo Nanosaur was
sent 65 million years into the past.","#9500
En l’an 4122, un Nanosaur solitaire fut envoyé
65 millions d’années dans le passé.","#9500
Im Jahr 4122 wurde ein einzelner Nanosaurier
65 Millionen Jahre in die Vergangenheit geschickt.",,"#9500
Nell’anno 4122, un Nanosaur solitario
fu inviato 65 milioni di anni nel passato.","#9500
År 4122 skickades en ensam Nanosaurie
65 miljoner år in i det förflutna.",
"#10500
His mission was to find the unhatched eggs of
ancient dinosaur species and return them to the future.","#10500
Il était chargé de trouver des œufs intacts de
dinosaures préhistoriques et de les renvoyer dans le futur.","#10500
Seine Aufgabe war es, die ungeschlüpften Eier uralter
Dinosaurierarten zu finden und sie in die Zukunft zurückzubringen.",,"#10500
La sua missione era trovare le uova non schiuse
dei dinosauri preistorici e riportarle nel futuro.","#10500
Han skulle hitta de okläckta äggen av urgamla
dinosauriearter och återföra dem till framtiden.",
"#7000

The mission was a success.","#7000

La mission fut accomplie.","#7000

Die Mission war ein Erfolg.",,"#7000

La missione fu un successo.","#7000

Uppdraget var framgångsrikt.",
"#8000
But before the eggs could be hatched,
they were stolen by a group of rebel Nanosaurs.","#8000
Mais avant que les œufs n’éclosent,
ils furent volés par un groupe de Nanosaurs rebelles.","#8000
Doch bevor die Eier schlüpfen konnten, wurden sie
von einer Gruppe rebellischer Nanosaurier gestohlen.",,"#8000
Ma prima che le uova si potessero schiudere,
furono rubate da un gruppo di Nanosauri ribelli.","#8000
Men innan äggen hann kläckas stals
de av en grupp rebelliska Nanosaurier.",
"#6333
The rebels took the eggs to offworld bases
where they planned on breeding the dinosaurs.
#6000
Their goal was to create warriors
for fighting their battle against Earth.","#6333
Les rebelles emmenèrent les œufs dans une base lointaine
d’où ils comptaient élever les dinosaures.
#6000
Ils voulaient créer des mercenaires
pour gagner leur bataille contre la Terre.","#6333
Die Rebellen brachten die Eier zu außerweltlichen
Basen, wo sie die Dinosaurier züchten wollten.
#6000
Ihr Ziel war es, Krieger für ihren
Kampf gegen die Erde zu schaffen.",,"#6333
I ribelli portarono le uova nelle basi extraterrestri
dove avevano pianificato di allevare i dinosauri.
#6000
Il loro obiettivo era creare guerrieri
per combattere la loro battaglia contro la Terra.","#6333
Rebellerna tog äggen till utomvärldsliga baser
där de avsåg att föda upp dinosaurierna.
#6000
Deras mål var att skapa krigare
för att kämpa mot jorden.",
"#8000
But the rebels left one egg behind.
When it hatched, a new Nanosaur was born.","#8000
Mais les rebelles laissèrent un œuf derrière eux.
En éclosant, un nouveau Nanosaur fut né.","#8000
Aber die Rebellen ließen ein Ei zurück.
Als es schlüpfte, wurde ein neuer Nanosaurier geboren.",,"#8000
Ma i ribelli lasciarono indietro un uovo.
Quando si schiuse, un nuovo Nanosaur era nato.","#8000
Men rebellerna lämnade ett ägg efter sig.
När det kläcktes föddes en ny Nanosaurie.",
"#4750
This hatchling was sent on a mission
to recover the stolen eggs...
#4000

...and defeat the rebel forces.","#4750
Ce nouveau-né se vit confier la mission
de récupérer les œufs volés...
#4000

...et de vaincre les forces rebelles.","#4750
Dieser Schlüpfling wurde auf eine Mission
geschickt, um die gestohlenen Eier zu bergen...
#4000

...und die Rebellen zu besiegen.",,"#4750
A questo cucciolo fu affidata la missione
di recuperare le uova rubate...
#4000

...e sconfiggere le forze ribelli.","#4750
Denna kläckling skickades på ett uppdrag
för att återfå de stulna äggen...
#4000

...och besegra rebellstyrkorna.",
,,,,,,
"Connect Two Controllers
So All Players Can Join.","Branchez Deux Manettes
Pour Que Tout Le Monde
Puisse Participer.","2 Controller Anschließen,
Damit Alle Spieler Teilnehmen Können.",,"Collega 2 controller
così tutti i giocatori
possono partecipare.","Koppla In 2 Handkontroll
Så Att Alla Kan Gå Med.",
"Connect One More Controller,
Or Hit <Enter> If One Of You
Wishes To Take The Keyboard.","Branchez Encore Une Manette,
Ou Tapez <Entrée> Si L'un D'entre
Vous Se Dévoue Pour Le Clavier.","1 Weiteren Controller Anschließen,
Oder Drücke <Enter>, Damit Ein Spieler
Die Tastatur Nimmt.",,"Collega ancora 1 controller,
Oppure premi <Invio> se uno di voi
desidera prendere la tastiera.","Koppla In 1 Handkontroll Till,
Eller Tryck På <Enter> Om Någon
Av Er Vill Ta Tangentbordet.",
,,,,,,
Grab your red/cyan glasses and enable 3D mode to start calibrating.,Prenez vos lunettes rouge/cyan et activez le mode 3D pour commencer la calibration.,,,Prendi i tuoi occhiali rosso/ciano e abilita la modalità 3D per avviare la calibrazione.,,
While wearing your anaglyph glasses...,"Chaussez vos lunettes anaglyphes, puis...",,,Mentre indossi i tuoi occhiali anaglifi...,,
"Adjust Red and Blue levels until the white box
in the test image looks about the same brightness
in both your left and right eyes.","Ajustez les niveaux de Rouge et de Bleu jusqu’à
ce que le carré blanc dans la mire ci-contre apparaisse
à la même luminosité pour vos deux yeux.",,,"Regola i livelli di rosso e blu affinché il riquadro
bianco nell’immagine di test appaia circa della
stessa luminosità in entrambi gli occhi.",,
"Adjust the Green level until the green pattern is
as dark as possible in the left eye, yet you still see
good color balance in the background scene.","Ajustez le niveau de Vert jusqu’à ce que le motif vert
soit aussi sombre que possible dans votre œil gauche,
tout en maintenant un bon équilibre des couleurs dans
la scène en arrière-plan.",,,"Regola il livello di verde affinché il motivo verde
appaia il più scuro possibile nell’occhio sinistro,
ma si mantenga ancora un buon bilanciamento
dei colori nell'immagine di sfondo.",,
"To improve the balance between the left
and right eyes at the cost of some color
vibrance, you can turn on Channel Balancing.","Pour améliorer l’équilibre entre l’œil gauche et
le droit, vous pouvez activer Équilibrage Canaux,
aux dépens de la vivacité des couleurs.",,,"Per migliorare il bilanciamento tra l’occhio
sinistro e destro, rinunciando a un po’ di vividezza,
puoi attivare il bilanciamento dei canali.",,
,,,,,,
"Sorry, 3D glasses can
only be calibrated
from the main menu.","Désolé, la calibration des
lunettes 3D n'est possible
que depuis le menu principal.",,,"Spiacente, gli occhiali 3D possono
essere calibrati solo dal menù principale.",,
,,,,,,
Really quit?,Sûr de quitter?,Wirklich beenden?,,Uscire davvero?,Verkligen avsluta?,
